iter	Passed	Remaining
0	87	43507
1	165	41319
2	272	45142
3	388	48116
4	506	50134
5	641	52791
6	808	56926
7	968	59585
8	1087	59311
9	1133	55555
10	1250	55607
11	1326	53960
12	1424	53368
13	1518	52706
14	1649	53335
15	1781	53881
16	1866	53023
17	1890	50619
18	1938	49078
19	1985	47648
20	2031	46337
21	2072	45030
22	2131	44199
23	2227	44185
24	2299	43689
25	2367	43156
26	2456	43040
27	2549	42982
28	2611	42408
29	2663	41730
30	2731	41327
31	2788	40784
32	2842	40231
33	2864	39257
34	2912	38696
35	2966	38239
36	3023	37832
37	3075	37387
38	3163	37391
39	3289	37833
40	3434	38454
41	3538	38590
42	3629	38576
43	3722	38578
44	3803	38455
45	3873	38227
46	3929	37870
47	3986	37538
48	4021	37013
49	4080	36726
50	4140	36448
51	4213	36299
52	4267	35993
53	4297	35492
54	4362	35295
55	4416	35018
56	4474	34774
57	4530	34529
58	4580	34236
59	4631	33967
60	4688	33743
61	4733	33442
62	4801	33303
63	4853	33066
64	4902	32810
65	4946	32529
66	4997	32294
67	5050	32082
68	5097	31841
69	5121	31458
70	5174	31267
71	5225	31060
72	5273	30845
73	5328	30676
74	5390	30546
75	5445	30378
76	5510	30272
77	5572	30147
78	5632	30017
79	5696	29907
80	5758	29789
81	5917	30163
82	5977	30033
83	6051	29971
84	6101	29792
85	6125	29489
86	6190	29388
87	6241	29220
88	6290	29050
89	6356	28957
90	6422	28863
91	6477	28725
92	6542	28632
93	6597	28494
94	6652	28360
95	6715	28260
96	6775	28148
97	6867	28169
98	6965	28214
99	7079	28318
100	7157	28274
101	7238	28243
102	7306	28161
103	7377	28091
104	7427	27941
105	7482	27813
106	7545	27712
107	7603	27599
108	7678	27542
109	7778	27578
110	7854	27527
111	7947	27531
112	8061	27610
113	8252	27942
114	8351	27959
115	8430	27906
116	8503	27837
117	8596	27830
118	8635	27648
119	8718	27607
120	8798	27557
121	8878	27507
122	8980	27524
123	9044	27426
124	9121	27365
125	9193	27288
126	9260	27197
127	9321	27089
128	9378	26971
129	9471	26957
130	9533	26852
131	9582	26715
132	9637	26593
133	9691	26471
134	9744	26346
135	9819	26280
136	9867	26145
137	9938	26070
138	10046	26091
139	10152	26106
