iter	RMSE
0	477.0859664
1	458.0707987
2	437.9010238
3	418.1338596
4	400.3340368
5	384.7781081
6	369.4500608
7	354.0009687
8	340.1779978
9	326.2051941
10	313.3833299
11	300.6177444
12	289.0831723
13	277.8249461
14	267.3101206
15	257.1433049
16	247.5884602
17	237.7892873
18	228.1652618
19	219.2873982
20	210.4496893
21	202.2439865
22	195.1196158
23	187.5937287
24	180.3739299
25	173.8239963
26	167.3931543
27	161.8627372
28	156.4310926
29	151.1157767
30	145.7224697
31	140.5155831
32	136.0461589
33	131.1695696
34	126.6795754
35	123.1150827
36	119.3766276
37	115.8104586
38	112.3947672
39	109.5667857
40	106.7231367
41	103.6787031
42	100.9636361
43	98.1587923
44	95.67810645
45	93.59819605
46	91.62185908
47	89.46074148
48	87.52628936
49	85.65698632
50	84.07431814
51	82.34757141
52	80.78832866
53	79.35517105
54	78.00083967
55	76.86972928
56	75.61917807
57	74.4036313
58	73.45219893
59	72.55000649
60	71.52551854
61	70.64083621
62	69.80143063
63	69.04014991
64	68.46451261
65	67.72948415
66	67.04689864
67	66.44593509
68	65.86445628
69	65.40747907
70	64.85914743
71	64.40210967
72	63.87286729
73	63.39739142
74	63.00079934
75	62.68900627
76	62.2763213
77	61.89485697
78	61.53900269
79	61.28146367
80	60.95396073
81	60.63191737
82	60.437694
83	60.20245712
84	59.89671434
85	59.63792759
86	59.42545668
87	59.22157825
88	58.98520387
89	58.69189886
90	58.5899319
91	58.3917336
92	58.2338579
93	58.10172719
94	57.88398835
95	57.7065465
96	57.47095409
97	57.29885863
98	57.09497199
99	56.88684686
100	56.81087154
101	56.5789131
102	56.43528883
103	56.27809241
104	56.12270846
105	56.00386243
106	55.81706921
107	55.65518289
108	55.52991735
109	55.35165097
110	55.22352542
111	55.13216373
112	54.97936433
113	54.79551413
114	54.62781518
115	54.46211757
116	54.38107816
117	54.25957485
118	54.14133388
119	54.00220238
120	53.85992826
121	53.73677499
122	53.61588867
123	53.50071399
124	53.38844084
125	53.27896087
126	53.11016175
127	52.98462346
128	52.89229588
129	52.76924529
130	52.67933098
131	52.58904319
132	52.46474074
133	52.3189816
134	52.24461312
135	52.12409312
136	52.04999558
137	51.97872518
138	51.90433102
139	51.79274561
140	51.62371497
141	51.52158735
142	51.43104611
143	51.33894811
144	51.26154295
145	51.16252763
146	51.10244929
147	51.00776813
148	50.91777325
149	50.80792303
150	50.71581099
151	50.58005105
152	50.44199684
153	50.31466353
154	50.1671178
155	50.05911172
156	49.99068343
157	49.86983965
158	49.78452641
159	49.73480551
160	49.64337615
161	49.52736044
162	49.43893024
163	49.36271523
164	49.31323146
165	49.21021123
166	49.11446747
167	49.04106309
168	48.98338728
169	48.83895192
170	48.77486199
171	48.68315905
172	48.57117562
173	48.43422749
174	48.3626896
175	48.30514367
176	48.22495133
177	48.0481151
178	48.00241809
